# Region          : all region0
# Cells           : 7500
# Volume          : 2.6000000000e-01
# Time            	average(p)
0.0175012         	1.6542348965e+05
0.0175026         	1.6542304748e+05
0.0175044         	1.6542295018e+05
0.0175064         	1.6542297331e+05
0.0175089         	1.6542303309e+05
0.0175119         	1.6542309451e+05
0.0175155         	1.6542312432e+05
0.0175198         	1.6542308829e+05
0.017525          	1.6542292695e+05
0.0175312         	1.6542255824e+05
0.0175386         	1.6542187368e+05
0.0175475         	1.6542061371e+05
0.0175582         	1.6541776960e+05
0.0175711         	1.6541286953e+05
0.0175865         	1.6540466882e+05
0.0176049         	1.6539123623e+05
0.0176271         	1.6536981712e+05
0.0176537         	1.6533729336e+05
0.0176859         	1.6529128892e+05
0.0177244         	1.6523254156e+05
0.01777           	1.6516441352e+05
0.0178218         	1.6509058058e+05
0.0178749         	1.6501832195e+05
0.0179255         	1.6495230198e+05
0.0179738         	1.6489157814e+05
0.0180198         	1.6483451957e+05
0.0180648         	1.6477849644e+05
0.0181088         	1.6472285896e+05
0.0181528         	1.6466664653e+05
0.0181968         	1.6460981645e+05
0.0182397         	1.6455256745e+05
0.0182826         	1.6449292137e+05
0.0183256         	1.6443107668e+05
0.0183674         	1.6436916171e+05
0.0184093         	1.6430512214e+05
0.0184512         	1.6423876315e+05
0.018493          	1.6416999995e+05
0.0185349         	1.6409855872e+05
0.0185767         	1.6402414840e+05
0.0186174         	1.6394912195e+05
0.0186581         	1.6387091392e+05
0.0186987         	1.6378967153e+05
0.0187394         	1.6370531333e+05
0.0187801         	1.6361777300e+05
0.0188207         	1.6352718076e+05
0.0188614         	1.6343340916e+05
0.0189007         	1.6334005646e+05
0.0189399         	1.6324335812e+05
0.0189792         	1.6314362921e+05
0.0190184         	1.6304081684e+05
0.0190577         	1.6293494276e+05
0.019097          	1.6282577479e+05
0.0191362         	1.6271331568e+05
0.0191755         	1.6259738575e+05
0.0192148         	1.6247810148e+05
0.019254          	1.6235576009e+05
0.0192933         	1.6223035299e+05
0.0193325         	1.6210137381e+05
0.0193718         	1.6196911149e+05
0.0194111         	1.6183363395e+05
0.0194503         	1.6169492864e+05
0.0194926         	1.6154011753e+05
0.0195349         	1.6138129457e+05
0.0195772         	1.6122259327e+05
0.0196195         	1.6107293980e+05
0.0196617         	1.6094561606e+05
0.019704          	1.6084590963e+05
0.0197463         	1.6076725069e+05
0.0197886         	1.6070135728e+05
0.0198309         	1.6064145750e+05
0.0198732         	1.6058582322e+05
0.0199154         	1.6053393198e+05
0.0199577         	1.6048620239e+05
0.02              	1.6044291785e+05
0.0200424         	1.6040462852e+05
0.0200847         	1.6037241722e+05
0.0201271         	1.6034700055e+05
0.0201695         	1.6032866858e+05
0.0202126         	1.6031815615e+05
0.0202558         	1.6031716257e+05
0.020299          	1.6032697707e+05
0.0203421         	1.6034849950e+05
0.0203853         	1.6038279225e+05
0.0204284         	1.6043103929e+05
0.0204716         	1.6049379019e+05
0.0205148         	1.6057193129e+05
0.0205579         	1.6066596418e+05
0.020602          	1.6077854775e+05
0.0206462         	1.6090871725e+05
0.0206903         	1.6105681949e+05
0.0207345         	1.6122306873e+05
0.0207786         	1.6140780378e+05
0.0208227         	1.6161099041e+05
0.0208669         	1.6183287070e+05
0.020911          	1.6207309618e+05
0.0209552         	1.6233140327e+05
0.0209993         	1.6260796709e+05
0.0210434         	1.6290446871e+05
0.0210876         	1.6322194378e+05
0.0211317         	1.6356128535e+05
0.0211758         	1.6392319788e+05
0.02122           	1.6430883468e+05
0.0212641         	1.6471979040e+05
0.0213083         	1.6515165922e+05
0.0213524         	1.6560168640e+05
0.0213965         	1.6607458229e+05
0.0214407         	1.6656693660e+05
0.0214848         	1.6707510333e+05
0.021529          	1.6759926160e+05
0.0215731         	1.6814318061e+05
0.0216172         	1.6870771384e+05
0.0216614         	1.6929087110e+05
0.0217055         	1.6989144679e+05
0.0217496         	1.7051522822e+05
0.0217938         	1.7115357164e+05
0.0218379         	1.7180375121e+05
0.0218821         	1.7246303647e+05
0.0219262         	1.7313048329e+05
0.0219703         	1.7380056667e+05
0.0220145         	1.7447269294e+05
0.0220586         	1.7515494851e+05
0.0221028         	1.7584970077e+05
0.0221469         	1.7654795536e+05
0.022191          	1.7725204102e+05
0.0222352         	1.7794934077e+05
0.0222793         	1.7863474911e+05
0.0223234         	1.7931161716e+05
0.0223676         	1.7997989685e+05
0.0224117         	1.8064124715e+05
0.0224559         	1.8129180741e+05
0.0225            	1.8194307179e+05
0.0225424         	1.8257591134e+05
0.0225847         	1.8320465539e+05
0.0226271         	1.8382972067e+05
0.0226695         	1.8445091926e+05
0.0227111         	1.8505925665e+05
0.0227527         	1.8566008186e+05
0.0227943         	1.8625060897e+05
0.022836          	1.8683038900e+05
0.0228768         	1.8738960683e+05
0.0229184         	1.8795888435e+05
0.0229601         	1.8852449938e+05
0.0230017         	1.8909267680e+05
0.0230433         	1.8965783686e+05
0.0230849         	1.9022098586e+05
0.0231266         	1.9077903145e+05
0.0231682         	1.9133005882e+05
0.0232098         	1.9187627659e+05
0.0232515         	1.9241801884e+05
0.0232931         	1.9294627175e+05
0.0233347         	1.9347154292e+05
0.0233764         	1.9399032292e+05
0.023418          	1.9450131363e+05
0.0234608         	1.9501424844e+05
0.0235035         	1.9551861073e+05
0.0235463         	1.9601134967e+05
0.023589          	1.9650369244e+05
0.0236318         	1.9698387727e+05
0.0236745         	1.9745412463e+05
0.0237173         	1.9791822052e+05
0.0237615         	1.9840122191e+05
0.0238058         	1.9888536255e+05
0.02385           	1.9936501217e+05
0.0238942         	1.9983718510e+05
0.0239385         	2.0030544059e+05
0.0239827         	2.0076700327e+05
0.0240289         	2.0123270105e+05
0.0240752         	2.0168482034e+05
0.0241214         	2.0212542473e+05
0.0241676         	2.0255311145e+05
0.0242139         	2.0297710265e+05
0.0242601         	2.0339603007e+05
0.0243064         	2.0380503667e+05
0.0243526         	2.0420372719e+05
0.0244024         	2.0461428197e+05
0.0244484         	2.0498335506e+05
0.0244985         	2.0537121379e+05
0.0245487         	2.0573760092e+05
0.0245988         	2.0609232329e+05
0.024649          	2.0643552087e+05
0.0246991         	2.0676027548e+05
0.0247493         	2.0707456063e+05
0.0247994         	2.0738211262e+05
0.0248496         	2.0767133580e+05
0.0248997         	2.0793742887e+05
0.0249499         	2.0818790996e+05
0.025             	2.0842267892e+05
0.0250481         	2.0864420593e+05
0.0250962         	2.0884732964e+05
0.0251442         	2.0903120409e+05
