# Region          : all region0
# Cells           : 7500
# Volume          : 2.6000000000e-01
# Time            	average(p)
1.20019e-06       	1.0000416713e+05
2.64042e-06       	1.0001038626e+05
4.3687e-06        	1.0001784309e+05
6.44321e-06       	1.0002659148e+05
8.93179e-06       	1.0003678962e+05
1.19187e-05       	1.0004861955e+05
1.55038e-05       	1.0006225568e+05
1.98022e-05       	1.0007784350e+05
2.49586e-05       	1.0009552901e+05
3.11462e-05       	1.0011542201e+05
3.85602e-05       	1.0013753249e+05
4.74462e-05       	1.0016182837e+05
5.81095e-05       	1.0018821816e+05
7.08943e-05       	1.0021646766e+05
8.62684e-05       	1.0024636940e+05
0.000104694       	1.0027749757e+05
0.000126873       	1.0031050890e+05
0.000153537       	1.0034420840e+05
0.000184411       	1.0037681487e+05
0.000219496       	1.0040806064e+05
0.000258815       	1.0043846638e+05
0.00030276        	1.0046901385e+05
0.000345843       	1.0049564055e+05
0.000388081       	1.0051993450e+05
0.000425794       	1.0054064173e+05
0.000459798       	1.0055868005e+05
0.000491676       	1.0057537181e+05
0.000522573       	1.0059154373e+05
0.00055347        	1.0060779424e+05
0.000584866       	1.0062443828e+05
0.000616262       	1.0064115086e+05
0.000647657       	1.0065789093e+05
0.000679053       	1.0067477300e+05
0.000709916       	1.0069159738e+05
0.00074078        	1.0070867757e+05
0.000771643       	1.0072596659e+05
0.000802507       	1.0074335373e+05
0.00083337        	1.0076077996e+05
0.000864234       	1.0077819352e+05
0.000895098       	1.0079557930e+05
0.000924818       	1.0081227208e+05
0.000954538       	1.0082893402e+05
0.000984259       	1.0084557180e+05
0.00101398        	1.0086217331e+05
0.00104312        	1.0087841259e+05
0.00107225        	1.0089459291e+05
0.00110139        	1.0091067506e+05
0.00112994        	1.0092627340e+05
0.00115848        	1.0094170555e+05
0.00118643        	1.0095667818e+05
0.00121437        	1.0097154354e+05
0.00124232        	1.0098628096e+05
0.00127027        	1.0100086712e+05
0.00129822        	1.0101527973e+05
0.00132617        	1.0102952118e+05
0.00135412        	1.0104354947e+05
0.00138207        	1.0105739584e+05
0.00141073        	1.0107137012e+05
0.0014394         	1.0108512486e+05
0.00146806        	1.0109865684e+05
0.00149673        	1.0111191726e+05
0.00152623        	1.0112527866e+05
0.00155574        	1.0113832211e+05
0.0015862         	1.0115146154e+05
0.00161666        	1.0116425388e+05
0.00164712        	1.0117668194e+05
0.00167871        	1.0118915966e+05
0.0017103         	1.0120127620e+05
0.00174189        	1.0121298869e+05
0.00177485        	1.0122477831e+05
0.00180781        	1.0123613496e+05
0.00184077        	1.0124706492e+05
0.00187373        	1.0125754176e+05
0.00190669        	1.0126757448e+05
0.00193965        	1.0127713764e+05
0.00197262        	1.0128627144e+05
0.00200558        	1.0129496503e+05
0.00203854        	1.0130320491e+05
0.0020715         	1.0131096213e+05
0.00210446        	1.0131824048e+05
0.00213742        	1.0132503499e+05
0.00217039        	1.0133134207e+05
0.00220335        	1.0133717358e+05
0.00223631        	1.0134255288e+05
0.00226927        	1.0134745780e+05
0.00230223        	1.0135189634e+05
0.00233519        	1.0135589846e+05
0.00236815        	1.0135949130e+05
0.00240112        	1.0136265505e+05
0.00243408        	1.0136538522e+05
0.00246704        	1.0136769521e+05
0.0025            	1.0136959339e+05
0.00253247        	1.0137107108e+05
0.00256537        	1.0137221076e+05
0.00259827        	1.0137299663e+05
0.00263072        	1.0137343380e+05
0.00266318        	1.0137352641e+05
0.00269564        	1.0137327956e+05
0.00272809        	1.0137273401e+05
0.00276055        	1.0137191985e+05
0.002793          	1.0137085969e+05
0.00282546        	1.0136956073e+05
0.00285792        	1.0136803313e+05
0.00289037        	1.0136629482e+05
0.00292283        	1.0136438137e+05
0.0029558         	1.0136226504e+05
0.00298877        	1.0135998525e+05
